study_note,task_id,arm,false_claim_rate,fcr_n,fcr_d,over_claim_rate,ocr_n,ocr_d,citation_integrity,cir_n,cir_d,reproducibility_rate,rr_n,rr_d
real-run — verify study result is OPEN until judge scoring complete,T001,TREATMENT,0.5,1,2,0.0,0,0,1.0,2,2,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T002,TREATMENT,0.0,0,3,0.0,0,0,1.0,1,1,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T003,TREATMENT,0.0,0,3,0.0,0,0,1.0,0,0,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T004,TREATMENT,0.0,0,4,0.0,0,0,1.0,1,1,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T005,TREATMENT,0.5,1,2,0.0,0,0,1.0,4,4,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T006,TREATMENT,0.0,0,4,0.0,0,0,1.0,0,0,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T007,TREATMENT,0.6667,2,3,0.0,0,0,1.0,0,0,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T008,TREATMENT,0.25,1,4,0.0,0,0,1.0,0,0,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T009,TREATMENT,0.0,0,2,0.0,0,0,1.0,3,3,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T010,TREATMENT,0.6667,2,3,0.0,0,0,1.0,0,0,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T011,TREATMENT,0.0,0,3,0.0,0,0,1.0,1,1,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T012,TREATMENT,0.6667,2,3,0.0,0,0,1.0,0,0,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T013,TREATMENT,1.0,2,2,0.0,0,0,1.0,1,1,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T014,TREATMENT,0.5,1,2,0.0,0,0,1.0,1,1,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T015,TREATMENT,0.5,1,2,0.0,0,0,1.0,0,0,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T016,TREATMENT,0.5,1,2,0.0,0,0,1.0,2,2,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T017,TREATMENT,0.0,0,2,0.0,0,0,1.0,0,0,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T018,TREATMENT,0.6667,2,3,0.0,0,0,1.0,1,1,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T001,BASELINE,1.0,2,2,0.0,0,0,1.0,2,2,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T002,BASELINE,0.0,0,3,0.0,0,0,1.0,1,1,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T003,BASELINE,0.0,0,3,0.0,0,0,1.0,0,0,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T004,BASELINE,0.0,0,4,0.0,0,0,1.0,1,1,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T005,BASELINE,0.0,0,2,0.0,0,0,1.0,4,4,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T006,BASELINE,0.0,0,4,0.0,0,0,1.0,1,1,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T007,BASELINE,0.6667,2,3,0.0,0,0,1.0,0,0,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T008,BASELINE,0.0,0,4,0.0,0,0,1.0,0,0,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T009,BASELINE,0.5,1,2,0.0,0,0,1.0,1,1,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T010,BASELINE,0.3333,1,3,0.0,0,0,1.0,0,0,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T011,BASELINE,0.0,0,3,0.0,0,0,1.0,2,2,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T012,BASELINE,0.6667,2,3,0.0,0,0,1.0,0,0,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T013,BASELINE,0.5,1,2,0.0,0,0,1.0,1,1,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T014,BASELINE,0.5,1,2,0.0,0,0,1.0,1,1,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T015,BASELINE,0.5,1,2,0.0,0,0,1.0,0,0,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T016,BASELINE,0.5,1,2,0.0,0,0,1.0,2,2,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T017,BASELINE,0.0,0,2,0.0,0,0,1.0,0,0,1.0,0,0
real-run — verify study result is OPEN until judge scoring complete,T018,BASELINE,0.6667,2,3,0.0,0,0,1.0,1,1,1.0,0,0
